MetaMessage type: track_name, time: 0, actual_time: 0
type: program_change, time: 0, actual_time: 0
type=note_on channel=0 note=59 velocity=0 time=96 actual_time=31176
type=note_on channel=0 note=62 velocity=80 time=24 actual_time=31200
type=note_on channel=0 note=62 velocity=0 time=96 actual_time=31296
type=note_on channel=0 note=59 velocity=80 time=24 actual_time=31320
type=note_on channel=0 note=59 velocity=0 time=96 actual_time=31416
type=note_on channel=0 note=57 velocity=80 time=24 actual_time=31440
type=note_on channel=0 note=57 velocity=0 time=96 actual_time=31536
type=note_on channel=0 note=57 velocity=80 time=24 actual_time=31560
type=note_on channel=0 note=57 velocity=0 time=96 actual_time=31656
type=note_on channel=0 note=62 velocity=80 time=24 actual_time=31680
type=note_on channel=0 note=62 velocity=0 time=96 actual_time=31776
type=note_on channel=0 note=62 velocity=80 time=24 actual_time=31800
type=note_on channel=0 note=62 velocity=0 time=96 actual_time=31896
type=note_on channel=0 note=62 velocity=80 time=24 actual_time=31920
type=note_on channel=0 note=62 velocity=0 time=96 actual_time=32016
type=note_on channel=0 note=61 velocity=80 time=24 actual_time=32040
type=note_on channel=0 note=61 velocity=0 time=192 actual_time=32232
type=note_on channel=0 note=61 velocity=80 time=48 actual_time=32280
type=note_on channel=0 note=61 velocity=0 time=192 actual_time=32472
type=note_on channel=0 note=61 velocity=80 time=48 actual_time=32520
type=note_on channel=0 note=61 velocity=0 time=96 actual_time=32616
type=note_on channel=0 note=62 velocity=80 time=24 actual_time=32640
type=note_on channel=0 note=62 velocity=0 time=96 actual_time=32736
type=note_on channel=0 note=62 velocity=80 time=144 actual_time=32880
type=note_on channel=0 note=62 velocity=0 time=96 actual_time=32976
type=note_on channel=0 note=59 velocity=80 time=24 actual_time=33000
type=note_on channel=0 note=59 velocity=0 time=48 actual_time=33048
type=note_on channel=0 note=57 velocity=80 time=12 actual_time=33060
type=note_on channel=0 note=57 velocity=0 time=192 actual_time=33252
type=note_on channel=0 note=59 velocity=80 time=5268 actual_time=38520
type=note_on channel=0 note=59 velocity=0 time=96 actual_time=38616
type=note_on channel=0 note=59 velocity=80 time=24 actual_time=38640
type=note_on channel=0 note=59 velocity=0 time=96 actual_time=38736
type=note_on channel=0 note=59 velocity=80 time=24 actual_time=38760
type=note_on channel=0 note=59 velocity=0 time=96 actual_time=38856
type=note_on channel=0 note=59 velocity=80 time=24 actual_time=38880
type=note_on channel=0 note=59 velocity=0 time=96 actual_time=38976
type=note_on channel=0 note=57 velocity=80 time=24 actual_time=39000
type=note_on channel=0 note=57 velocity=0 time=96 actual_time=39096
type=note_on channel=0 note=57 velocity=80 time=24 actual_time=39120
type=note_on channel=0 note=57 velocity=0 time=96 actual_time=39216
type=note_on channel=0 note=57 velocity=80 time=24 actual_time=39240
type=note_on channel=0 note=57 velocity=0 time=96 actual_time=39336
type=note_on channel=0 note=57 velocity=80 time=24 actual_time=39360
type=note_on channel=0 note=57 velocity=0 time=96 actual_time=39456
type=note_on channel=0 note=57 velocity=80 time=24 actual_time=39480
